qubit;depth;reads;cov
47.2;219.96;16820;91.519
80.6;61.05955924;30738;89.616
6.28;77.4;7587;80.447
15.7;403.5701;30721;97.037
41.2;220.6106;17116;96.081
3.74;799.84;63638;98.679
23.8;196.2339;16756;97.843
27.8;243.9383;19420;98.706
20.4;2346.6338;183216;98.763
47.4;230.8681403;18734;94.305
34.8;173.5894;13360;85.938
7.2;496.32;39194;98.669
85.4;95.63739424;40993;96.857
25.6;732.0;56652;99.595
5.28;68.8;6156;83.089
78.2;593.5629;45702;98.679
68.8;3328.3178;258004;98.799
15.7;412.3;31905;98.866
36.4;230.364;17880;94.017
72.6;566.9847841;49469;97.82
61.0;940.5068;73161;93.114
7.06;116.0;10048;90.663
28.4;233.4449;17815;92.262
7.38;679.0;29617;70.685
14.1;446.8;34524;97.95
15.9;1144.4189;89383;95.131
16.0;191.3;14832;87.296
47.8;579.4432;44860;97.646
21.4;610.8;48298;98.679
32.9;939.51;74739;98.679
19.0;796.2;61488;98.679
16.9;311.0462;23711;95.375
23.2;664.0;70093;97.813
44.0;177.6049;13797;91.148
24.5;989.0;76394;99.595
66.0;452.0;35021;98.68
16.3;347.7772;26941;91.292
17.6;790.2;60489;99.595
28.6;422.87;33372;98.669
63.0;115.3385613;51985;93.114
11.7;440.0;34013;100.0
34.6;616.5852;46944;93.114
28.0;516.5405;40214;95.867
7.3;324.45;25616;94.957
25.0;1508.0522;117089;93.114
34.0;98.53506337;8757;89.927
26.6;194.6817;15334;97.134
11.9;703.0;54800;75.38
71.4;66.84857707;29440;93.385
20.8;581.0;46167;98.679
15.8;353.1715;28163;92.121
18.5;322.7592;26939;97.937
27.2;334.24;26834;96.248
7.86;15.53;1222;18.971
58.4;247.0;19336;95.198
28.3;510.3;38870;55.392
10.0;121.9;9305;82.804
19.2;585.0;45607;100.0
3.83;3.2;259;1.094
10.5;1267.69;98930;98.679
32.6;267.6539;20797;96.395
35.8;403.7762;31038;94.178
14.5;94.45;8118;86.65
7.04;9.449;779;10.012
10.9;252.8718;20199;87.667
52.2;461.7801558;35157;96.826
67.0;388.5917132;30199;96.816
19.5;312.7122;25779;98.82
71.4;385.1055078;30421;96.823
27.8;126.8590108;12006;91.606
32.8;769.5354;58021;99.579
20.2;242.0;19585;96.1
28.6;1.019529813;1432;19.878
34.2;196.3809;15125;88.851
25.8;593.4;46743;98.679
28.2;1002.3387;77535;98.632
19.6;738.34;56522;99.595
10.4;558.0;43532;98.679
13.6;173.377;13569;81.547
25.4;548.639;42741;96.873
43.2;1179.3028;89904;99.579
39.4;443.5879;34477;96.994
45.4;277.0824666;22944;93.629
60.8;197.97;16162;97.93
23.6;303.921;23205;93.114
27.6;670.0;63687;97.81
51.6;47.83399659;23106;88.593
20.3;598.0;46384;98.743
106.0;102.7793532;52432;96.994
30.4;808.3;61906;98.602
55.4;456.727;34561;93.506
37.8;513.5235;39503;91.268
13.1;487.0;39614;99.595
28.6;1415.8553;109681;97.836
14.9;97.4763;9645;88.312
31.8;188.5825;14598;89.406
18.4;299.0;24582;97.95
40.0;319.0;29833;93.977
25.2;1233.0;95178;97.81
30.0;274.5747;21039;93.114
30.6;378.0;37445;94.549
49.9;276.9822;21612;89.673
29.2;1195.2616;92333;95.927
8.46;57.5014547;6006;72.822
1.76;885.02;69332;98.679
96.2;2256.8075;175531;95.82
25.0;1151.4298;89287;97.773
59.0;508.7063;38650;95.027
22.8;297.4999;25154;97.823
24.9;580.8;44673;98.679
20.3;635.2;49477;99.595
17.9;225.2933;19643;97.943
34.2;25.52101796;13673;82.206
25.7;574.4;45654;98.679
8.6;83.5334;6582;66.428
92.6;80.83516704;35507;94.298
15.8;136.4121;10515;79.226
49.4;593.8167074;44617;97.82
24.2;889.8917;68971;97.927
19.8;849.1;66825;98.679
84.9;1774.9085;137904;95.87
11.7;1.013309701;2567;36.873
15.4;222.6942;17777;88.784
26.4;730.6339;55864;93.325
98.4;52.74788483;26973;94.348
68.8;36.58616192;15904;91.516
24.4;278.0676;21729;94.158
15.6;677.8;53974;98.652
23.2;282.0;22685;95.225
23.0;997.7818;77597;99.579
14.3;847.8494;66779;88.299
18.8;557.1;42974;98.866
20.6;204.8889;15638;85.109
47.6;943.414;72828;96.994
12.9;253.8413;19548;86.814
7.28;3.4283;283;0.0
47.2;463.5214;35398;93.114
19.2;561.0;53173;100.0
35.0;138.3576564;12618;89.927
34.6;276.4557;21640;98.82
23.2;260.8382;22171;97.823
12.9;495.76;37588;97.937
18.5;328.2;27230;98.679
24.0;663.0132;51541;97.866
21.3;903.0;70010;99.595
3.08;40.0;3299;76.972
63.4;692.88;54612;98.679
7.9;38.8913;3426;56.777
9.8;753.4438;56735;98.84
31.2;526.1924;40753;95.87
5.8;104.4516;8170;90.493
46.4;492.6071;38266;98.662
22.6;213.0;18560;98.361
36.4;328.5471;25441;99.579
30.4;557.3822;43630;98.706
19.4;1292.8;99294;98.679
65.2;608.1855;46099;94.91
29.8;302.0;29895;94.97
42.0;1337.0165;104148;93.114
8.4;105.5796;9480;89.386
39.4;356.383;27743;99.579
42.9;682.6149;52956;95.87
22.8;52.55399124;5428;76.347
4.06;1206.0;16831;75.919
42.2;169.0075912;14538;92.606
43.4;100.0;7980;88.714
20.6;292.6451;22952;97.943
44.4;1634.2137;123654;99.579
9.59;191.0;16451;96.298
2.02;40.4;3344;76.203
29.6;1896.7096;141443;99.579
15.7;440.5143;33140;98.696
33.4;608.7657;47301;96.134
20.4;148.8149;11489;91.492
20.0;1383.5441;105909;99.579
17.2;92.3986;7133;74.879
57.4;504.1144367;37454;97.82
51.4;51.07838678;25481;91.412
5.06;57.3;4798;76.417
24.6;641.9878;49594;99.579
47.8;3306.8709;246322;99.579
29.8;1244.6433;96494;97.866
43.0;695.0171;53799;96.977
4.12;6.6028;566;1.164
13.6;273.0716;22763;98.696
67.8;895.3582;69716;97.646
14.8;533.0;42138;99.595
48.6;166.7540046;16152;91.342
49.2;286.2271;21875;93.114
48.8;335.7018359;25747;96.883
17.2;433.5577;32806;96.99
22.4;360.0438;27666;90.416
12.1;81.127;7999;84.018
30.2;221.6475;17054;85.888
30.0;459.0;45972;93.954
20.2;2202.4127;164568;99.579
40.4;637.5004;49353;98.662
25.6;4.690766813;17087;51.51
26.0;430.7509;33904;97.014
62.8;2719.7773;211507;97.866
54.0;1764.5923;136898;95.071
30.6;318.4339;24748;98.696
33.0;488.0;38398;98.68
38.2;960.9408;73798;97.539
20.2;326.0;25631;97.094
24.6;511.0;40003;93.011
8.7;66.5439;5198;73.558
41.8;811.4316;62622;96.994
34.0;718.1631;54974;99.579
22.6;1511.9638;113144;99.579
69.8;835.531;63194;96.0
23.8;558.3935;43380;96.014
29.6;1692.9219;126589;99.579
11.1;57.0;4503;60.897
45.5;381.7654;29350;92.128
16.2;1009.4;77197;98.866
32.0;400.0;41836;93.954
30.2;1147.2577;89056;99.595
5.39;2.1;174;0.0
58.8;50.60508979;24711;93.195
6.82;73.5005;5776;61.793
46.2;1159.0;118837;98.743
22.6;1780.5701;133180;99.579
22.2;1049.0;81099;98.679
24.6;372.7265;29124;94.335
47.0;49.3205364;23087;91.466
27.6;1416.0;109049;99.595
9.77;1080.2;83173;98.666
6.26;617.71;48586;98.679
21.3;361.5;28423;98.679
31.2;678.1;52215;99.595
16.4;121.2446;10858;92.616
32.8;328.0;33361;95.265
22.4;313.0;31371;92.359
13.4;172.5966;14600;94.653
14.6;332.9;25686;56.439
45.4;724.3454;55934;96.994
2.36;508.24;40074;96.826
25.2;627.5892;48222;99.579
19.1;118.0;20606;81.48
16.9;648.0;44381;91.536
19.8;1532.5634;118768;96.92
53.6;49.51366084;23703;89.556
14.9;201.0;17616;97.749
62.4;528.0;40885;97.79
11.2;405.3;31461;56.125
18.3;344.0;55833;55.429
35.2;219.8201;16716;89.824
48.0;1024.4299;79891;95.87
63.8;2056.56;161420;98.679
13.2;105.8021;8181;69.461
40.2;278.8002;22265;99.579
29.8;364.359;27749;93.114
5.5;271.2975;20598;95.275
19.1;91.8843;8526;83.249
34.4;730.0;76304;98.743
21.2;159.5979;12242;91.185
32.6;140.0036786;12303;91.71
92.6;50.19299067;21399;92.673
33.2;691.3405;53522;95.87
32.4;166.0684881;13413;96.02
7.56;9.1903;766;5.642
50.8;1146.3591;87357;96.994
11.4;537.0;54547;95.087
38.4;176.6183;13568;86.005
26.4;884.9903;68493;96.994
75.4;78.55061365;35879;95.141
11.3;102.0;16495;79.915
17.0;596.2667;45849;98.84
31.2;398.3736;30580;93.325
3.96;833.53;65338;98.679
50.8;470.1663;36710;96.094
13.7;345.912;26966;89.576
20.2;580.3;44726;98.866
22.2;670.4099;50943;98.706
104.0;3461.0529;270057;98.799
22.8;503.3677;39192;94.248
28.2;897.5816;68237;94.79
62.6;2525.1011;196458;0.0
91.0;2631.2794;205169;98.799
16.9;290.4;22536;93.017
28.8;185.0985;14196;88.015
74.8;88.01892787;38954;94.017
30.8;1016.28;79254;99.595
44.6;1855.3219;145041;97.866
67.0;46.82797713;21730;92.094
15.0;265.416;21111;90.516
120.0;1813.4225;141241;95.87
21.6;430.2883;32523;97.823
19.0;507.0;61449;74.31
28.6;608.6;47113;98.679
18.0;458.4;35917;98.679
26.4;641.3;48968;98.866
16.3;467.6;36275;98.679
33.2;167.7775;13369;97.937
56.8;863.9673;67580;97.866
10.4;106.0033;9388;85.456
16.6;355.8523;29889;98.335
10.5;58.9247;5630;72.103
25.6;604.6;47682;98.679
17.5;702.0;55413;82.12
8.8;46.4583;3699;68.254
77.0;6152.8652;477778;98.679
20.2;638.0;49316;98.679
42.2;2622.9;206472;99.595
7.24;24.2806;1980;23.101
49.4;439.749;34172;97.646
9.84;326.0;26216;97.95
26.6;230.3891;19281;98.696
23.0;2160.8811;167804;93.114
47.4;828.8422;62867;98.783
35.6;1318.1081;101232;99.579
20.8;981.5033;75329;96.95
31.6;659.7824;51242;96.873
42.4;69.34364445;30980;92.533
9.98;36.5;2914;64.08
6.5;204.9;15769;95.138
37.9;215.9514;16912;84.149
19.3;237.0;18887;93.048
27.4;10.54071498;10495;65.288
27.0;143.0771;12216;93.977
20.2;141.0;11357;90.539
6.28;513.25;40332;98.679
21.0;278.2353;23690;97.198
9.5;123.676;10816;92.181
19.2;384.0;30448;97.82
33.6;265.2404;20368;87.864
6.18;18.0167;1607;24.981
33.2;713.1151;55332;95.87
12.7;1141.4174;89693;93.114
25.6;288.374;22635;99.579
12.5;435.0;37379;97.82
5.56;129.0;36371;100.0
5.3;5.0;431;0.0
15.1;779.2;58438;99.579
51.4;639.4468;49369;96.994
29.8;99.61425275;8623;88.871
24.2;858.6503;66592;94.198
24.2;491.184;37752;94.97
19.6;55.97598903;6038;74.006
46.6;767.6736;59327;96.994
4.04;4.0;337;0.0
9.26;339.0;29077;93.328
23.0;81.17065177;7915;83.283
60.6;133.0955757;10188;92.506
4.72;8.6231;681;0.0
10.7;69.6142;5556;66.498
12.0;943.23;74192;98.679
25.8;1666.4754;124724;99.579
27.4;330.0;25963;93.05
15.8;212.0;16865;93.315
20.8;5856.09;455228;98.679
28.0;48.0;3769;66.23
10.1;468.691;35514;96.395
77.8;82.43988897;35804;91.268
7.9;127.5458;10629;92.961
10.9;347.8;26984;56.101
4.7;65.0;6044;84.67
21.8;322.3164;25165;93.094
56.2;467.7657;36980;97.014
63.1;950.7728;74003;92.272
27.6;954.5884;74058;99.595
14.7;548.02;43054;98.679
21.4;290.1768;22127;92.262
5.68;0.7851;64;0.0
34.2;1085.0306;82687;95.171
16.2;386.8;29907;96.826
22.0;274.0;21726;93.298
79.0;46.5000836;21107;91.322
16.0;1020.9287;80048;95.071
46.2;2094.69;165094;99.595
17.4;485.0;38864;97.02
16.1;719.7302;57223;99.579
12.2;3.714242718;5023;43.089
31.3;664.0;51238;99.595
80.0;1435.1682;108465;96.994
11.6;111.34;8998;76.845
116.0;89.33588603;43644;96.0
55.2;338.0202;26311;92.954
72.0;45.51700498;19280;93.302
11.9;333.5027;26665;93.262
